Skill,Video URL,Video Title,Source
Excel,https://www.youtube.com/watch?v=LgXzzu68j7M&pp=ygUORXhjZWwgdHV0b3JpYWzSBwkJAwoBhyohjO8%3D,Excel Tutorial for Beginners,YouTube
Data analysis,https://www.youtube.com/watch?v=_g5roKHj95o&pp=ygUWRGF0YSBhbmFseXNpcyB0dXRvcmlhbA%3D%3D,Master Data Analysis on Excel in Just 10 Minutes,YouTube
Microsoft Office,https://www.youtube.com/watch?v=fiIaqAYPzFk&pp=ygUZTWljcm9zb2Z0IE9mZmljZSB0dXRvcmlhbA%3D%3D,Microsoft Office Suite for Beginners,YouTube
CPR,https://www.youtube.com/watch?v=BUhUiPeEX-8&t=45s&pp=ygUMQ1BSIHR1dG9yaWFs,How to Perform CPR on Adults & Infants | In Case of Emergency | Mass General Brigham,YouTube
python,https://www.youtube.com/watch?v=K5KVEU3aaeQ&t=56s&pp=ygUPcHl0aG9uIHR1dG9yaWFs,Python Full Course for Beginners [2025],YouTube
crm,https://www.youtube.com/watch?v=Ihu9rr1wRa0&pp=ygUMY3JtIHR1dG9yaWFs,HubSpot CRM Tutorial for Beginners,YouTube
budgeting,https://www.youtube.com/watch?v=M7ucIl9MGs0&pp=ygUSYnVkZ2V0aW5nIHR1dG9yaWFs,Beginner's Guide To Budgeting | Step By Step Tutorial! 2025 Setup For You!,YouTube
