Job Title,Employer Website,Employer Name,Location,Min Salary,Max Salary,Posted At,Application URL
Medicare Inbound Contacts Representative,https://jobsinmaine.com/companies/humana-3236545,Humana,"Remote (Maine, ME, US)",,,2025-11-05 15:39:47,/jobs/169165549/apply
Seasonal Package Handler - Part Time (Warehouse li,https://jobsinmaine.com/companies/fedex-4352394,Fedex,"Bangor, ME, US",,,2025-11-05 15:39:48,/jobs/171234055/apply
Package Handler - Part Time (Warehouse like),https://jobsinmaine.com/companies/fedex-4352394,Fedex,"Saco, ME, US",,,2025-11-05 15:39:49,/jobs/167347520/apply
HIGHEST PAID REMOTE SALES POSITION,https://jobsinmaine.com/companies/emergent-financial-group-4012326,Emergent Financial Group,"Lubec, Maine, United States",$40k/year,$400k/year,2025-11-05 15:39:50,/jobs/172785692/apply
"Seasonal Retail Cosmetics Sales Associate - Lancome, South Portland",https://jobsinmaine.com/companies/macy-s-2979950,Macy's,"South Portland, Maine, United States",,,2025-11-05 15:39:51,/jobs/172785693/apply
"Retail Commission Sales Associate - Fine Jewelry, South Portland - Part Time",https://jobsinmaine.com/companies/macy-s-2979950,Macy's,"South Portland, Maine, United States",,,2025-11-05 15:39:52,/jobs/145378051/apply
Case Manager RN - Per Diem,https://jobsinmaine.com/companies/optum-3272556,Optum,"Bangor, Maine, United States",,,2025-11-05 15:39:53,/jobs/172785695/apply
"Nurse Practitioner or Physician Assistant- HouseCalls - Androscoggin, Kennebec -",https://jobsinmaine.com/companies/optum-3272556,Optum,"Lewiston, Maine, United States",,,2025-11-05 15:39:53,/jobs/172785696/apply
Per Assessment Nurse Practitioner or Physician Assistant - HouseCalls - Franklin,https://jobsinmaine.com/companies/optum-3272556,Optum,"Farmington, Maine, United States",,,2025-11-05 15:39:54,/jobs/172785697/apply
"Part Time Nurse Practitioner HouseCalls - Knox County, ME",https://jobsinmaine.com/companies/optum-3272556,Optum,"Rockland, Maine, United States",,,2025-11-05 15:39:55,/jobs/172785698/apply
"Per Assessment NP - HouseCalls - Aroostook County, ME",https://jobsinmaine.com/companies/optum-3272556,Optum,"Presque Isle, Maine, United States",,,2025-11-05 15:39:56,/jobs/172785699/apply
Facility Maintenance,https://jobsinmaine.com/companies/woodex-bearing-company-3556971,Woodex Bearing Company,"Georgetown, ME, US",$23/hour,$25/hour,2025-11-05 15:39:57,/jobs/172610400/apply
3rd Shift Warehouse Material Handler - $2.50 an hour Shift Differential,https://jobsinmaine.com/companies/american-steel-and-aluminum-llc-5823343,American Steel and Aluminum LLC,"South Portland, ME, US",,,2025-11-05 15:39:58,/jobs/172610399/apply
Tractor Trailer Driver / Intercompany,https://jobsinmaine.com/companies/oakhurst-dairy-3263539,Oakhurst Dairy,"Portland, ME, US",$30/hour,$34/hour,2025-11-05 15:39:59,/jobs/172610398/apply
"Supervisor, Facilities IV - Ellsworth",https://jobsinmaine.com/companies/the-jackson-laboratory-2470939,The Jackson Laboratory,"Ellsworth, Maine",,,2025-11-05 15:39:59,/jobs/168527459/apply
Customer Service Rep(03003) - 518 US Route 1,https://jobsinmaine.com/companies/domino-s-franchise-3763416,Domino's Franchise,"Kittery, ME",,,2025-11-05 15:40:01,/jobs/172785043/apply
Licensed PT,https://jobsinmaine.com/companies/seacoast-physical-therapy-4090865,Seacoast Physical Therapy,"Kennebunk, ME",,,2025-11-05 15:40:02,/jobs/173277796/apply
Weekend Nurse (RN),https://jobsinmaine.com/companies/community-health-and-counseling-services-2445506,Community Health and Counseling Services,"Bangor, ME, US",,,2025-11-05 15:40:03,/jobs/171277414/apply
"Deputy Chief Information Security Officer, Deputy CISO",https://jobsinmaine.com/companies/idexx-laboratories-inc-4017235,"IDEXX Laboratories, Inc","Westbrook, Maine, United States",,,2025-11-04 15:40:04,/jobs/172578801/apply
Psychiatrist,https://jobsinmaine.com/companies/talkiatry-4231376,Talkiatry,"Maine, US, US",,,2025-11-04 15:40:05,/jobs/172578459/apply
"Baker, mornings",https://jobsinmaine.com/companies/monte-s-fine-foods-3559105,Monte's Fine Foods,"Portland, ME, US",,,2025-11-04 15:40:07,/jobs/172622226/apply
Dishwasher/Utility Clerk,https://jobsinmaine.com/companies/monte-s-fine-foods-3559105,Monte's Fine Foods,"Portland, ME, US",,,2025-11-04 15:40:07,/jobs/167254036/apply
delivery driver,https://jobsinmaine.com/companies/micucci-wholesale-foods-4104004,Micucci Wholesale Foods,"Portland, ME, US",,,2025-11-04 15:40:08,/jobs/172622227/apply
PSS (Personal Support Specialist,https://jobsinmaine.com/companies/maine-home-care-solutions-llc-5863284,Maine Home Care Solutions LLC,"Saco, ME, US",,,2025-11-04 15:40:09,/jobs/172622228/apply
Owner,https://jobsinmaine.com/companies/serge-berube-builders-4121477,Serge Berube Builders,"Peaks Island, ME, US",,,2025-11-04 15:40:10,/jobs/165892727/apply
Satellite Installation Tech,https://jobsinmaine.com/companies/livewire-communications-3559021,Livewire Communications,"Bethel, ME, US",,,2025-11-04 15:40:11,/jobs/163653217/apply
Rehabilitation Technician,https://jobsinmaine.com/companies/brightspring-health-services-4045542,BrightSpring Health Services,"Rockland, Maine, United States",,,2025-11-04 15:40:12,/jobs/150149179/apply
"Director, IT Strategy and Delivery | Enterprise Applications",https://jobsinmaine.com/companies/the-jackson-laboratory-2470939,The Jackson Laboratory,"Bar Harbor, Maine, United States",,,2025-11-04 15:40:13,/jobs/172578800/apply
FT Pharmacy Tech I - Central Processing,https://jobsinmaine.com/companies/hannaford-supermarkets-4012177,Hannaford Supermarkets,"Scarborough, Maine, United States",,,2025-11-04 15:40:14,/jobs/172578802/apply
FT Bakery Sales Associate,https://jobsinmaine.com/companies/hannaford-supermarkets-4012177,Hannaford Supermarkets,"Augusta, Maine, United States",,,2025-11-04 15:40:15,/jobs/172578803/apply
FT Stock Crew (Nights),https://jobsinmaine.com/companies/hannaford-supermarkets-4012177,Hannaford Supermarkets,"South Portland, Maine, United States",,,2025-11-04 15:40:16,/jobs/172578804/apply
FT Pharmacy Tech II - Central Processing,https://jobsinmaine.com/companies/hannaford-supermarkets-4012177,Hannaford Supermarkets,"Scarborough, Maine, United States",,,2025-11-04 15:40:17,/jobs/172578805/apply
PT Sales Associate Cashier,https://jobsinmaine.com/companies/hannaford-supermarkets-4012177,Hannaford Supermarkets,"Lincoln, Maine, United States",,,2025-11-04 15:40:17,/jobs/172578806/apply
PT Seafood Sales Associate,https://jobsinmaine.com/companies/hannaford-supermarkets-4012177,Hannaford Supermarkets,"Boothbay Harbor, Maine, United States",,,2025-11-04 15:40:18,/jobs/172578807/apply
Reserve Shuttle Driver,https://jobsinmaine.com/companies/colby-college-3216011,Colby College,"Colby College, United States of America",,,2025-11-04 15:40:19,/jobs/172279067/apply
"Director, Center for Resilience and Economic Impact",https://jobsinmaine.com/companies/colby-college-3216011,Colby College,"Colby College, United States of America",,,2025-11-04 15:40:20,/jobs/172279066/apply
Regional Sales Executive,https://jobsinmaine.com/companies/ez-direct-sales-5310704,EZ Direct Sales,"Portland, ME, US",,,2025-11-04 15:40:21,/jobs/172279761/apply
Associate Dentist,https://jobsinmaine.com/companies/breakwater-dental-5890622,Breakwater Dental,"South Portland, ME, US",$300k/year,$350k/year,2025-11-04 15:40:22,/jobs/172264739/apply
Electrical Motor Technician,https://jobsinmaine.com/companies/prime-electric-motors-inc-6001631,"Prime Electric Motors, Inc.","Gorham, ME, US",$20/hour,$25/hour,2025-11-04 15:40:22,/jobs/172264738/apply
.5 Case Manager/.5 IEP Coordinator,https://jobsinmaine.com/companies/msad-60-north-berwick-2956057,MSAD #60 (North Berwick),"North Berwick, ME, US",$48.84k/year,$58.82k/year,2025-11-04 15:40:23,/jobs/172264737/apply
Residential Substance Use Clinician,https://jobsinmaine.com/companies/dayone-4660936,DayOne,"Windham, ME, US",$57k/year,$57k/year,2025-11-04 15:40:24,/jobs/172264736/apply
LADC-IOP and OHH,https://jobsinmaine.com/companies/dayone-4660936,DayOne,"New Gloucester, ME, US",$27/hour,$27/hour,2025-11-04 15:40:25,/jobs/172264735/apply
Cook,https://jobsinmaine.com/companies/smitty-s-cinema-and-gamelab-3822598,Smitty's Cinema and GameLAB,"Topsham, ME, US",,,2025-11-04 15:40:26,/jobs/172279762/apply
Technicians needed,https://jobsinmaine.com/companies/dnk-select-cars-trucks-5004504,DNK Select Cars & Trucks,"Randolph, ME, US",,,2025-11-04 15:40:26,/jobs/172279763/apply
Line Cook,https://jobsinmaine.com/companies/off-track-pizza-4199196,Off Track Pizza,"Portland, ME, US",,,2025-11-04 15:40:27,/jobs/161704703/apply
Financial Analyst IV | JMCRS Operations,https://jobsinmaine.com/companies/the-jackson-laboratory-2470939,The Jackson Laboratory,"Bar Harbor, Maine",,,2025-11-03 15:40:28,/jobs/168824245/apply
Afterschool STEM Instructors,https://jobsinmaine.com/companies/mad-science-of-maine-5777701,Mad Science of Maine,"Portland, ME, US",,,2025-11-03 15:40:29,/jobs/172279764/apply
Winter Equipment Operator,https://jobsinmaine.com/companies/outdoor-pride-3559095,Outdoor Pride,"North Berwick, ME, US",,,2025-11-03 15:40:30,/jobs/172279765/apply
Delivery Driver,https://jobsinmaine.com/companies/heatable-6012511,Heatable,"Westbrook, ME, US",,,2025-11-03 15:40:30,/jobs/172903303/apply
Sales & Service Writer,https://jobsinmaine.com/companies/sullivan-tire-auto-service-5396423,Sullivan Tire & Auto Service,"Falmouth, ME, US",,,2025-11-03 15:40:31,/jobs/172610401/apply
